particle_size,5_500_1_00,5_500_1_01,5_500_1_02,5_500_2_00,5_500_2_01,5_500_2_02,10_500_1_00,10_500_1_01,10_500_1_02,10_500_2_00,10_500_2_01,10_500_2_02,15_500_1_00,15_500_1_01,15_500_1_02,15_500_2_00,15_500_2_01,15_500_2_02,24_800_1_00,24_800_1_01,24_800_1_02,24_800_2_00,24_800_2_01,24_800_2_02,29_500_1_00,29_500_1_01,29_500_1_02,29_500_2_00,29_500_2_01,29_500_2_02,31_500_1_00,31_500_1_01,31_500_1_02,31_500_2_00,31_500_2_01,31_500_2_02
263.5,1536321,65563,736615,1385170,697133,437773,307926,188024,127021,278850,359222,162659,287121,369677,497481,303183,198148,1871,153327,388540,229538,372470,334240,341795,462170,571866,570009,456002,1587936,634647,391773,264918,202159,91565,5194,193775
264.5,1469781,61012,690716,1440675,631437,425426,293050,193772,120064,318466,365556,155157,290775,327846,515678,288343,195298,1620,146426,408152,232063,356197,339429,323774,432379,560143,562775,457490,1500157,607176,404704,271132,185243,68810,3508,192246
265.5,1403916,57157,646747,1497266,569768,414213,278171,199800,113412,360470,371598,148241,294411,290972,534164,272722,192755,1417,139926,428020,234157,340505,344509,306718,405768,548822,556196,459864,1405668,579571,417940,277548,169611,51029,2348,191180
266.5,1339115,53921,604727,1554332,512250,404074,263421,206024,107078,404034,377246,141855,297963,258603,552754,256513,190486,1252,133801,447969,235770,325407,349409,290619,382208,537925,550245,463092,1306906,551966,431341,284108,155227,37385,1557,190565
267.5,1275723,51239,564665,1611191,458938,394948,248920,212347,101069,448084,382395,135942,301363,230287,571240,239916,188457,1118,128027,467800,236854,310909,354057,275461,361551,527470,544893,467142,1206162,524496,444751,290748,142042,27090,1025,190389
268.5,1214039,49058,526560,1667092,409822,386780,234771,218659,95391,491327,386941,130450,304540,205583,589394,223130,186640,1010,122580,487298,237364,297015,358376,261223,343641,517468,540109,471976,1105501,497292,458002,297401,129999,19440,669,190642
269.5,1154317,47333,490401,1721228,364832,379516,221064,224838,90047,532297,390786,125331,307420,184075,606971,206353,185004,923,117438,506230,237260,283727,362290,247879,328322,507929,535859,477546,1006707,470481,470913,303996,119034,13834,434,191314
270.5,1096766,46033,456169,1772743,323851,373105,207872,230754,85036,569430,393835,120539,309932,165378,623710,189767,183524,854,112582,524352,236507,271040,365724,235397,315443,498856,532111,483802,911261,444183,483298,310459,109082,9776,280,192395
271.5,1041549,45129,423837,1820753,286719,367497,195252,236264,80357,601154,396004,116033,312003,149139,639339,173544,182172,801,107992,541413,235078,258951,368601,223743,304867,490251,528827,490681,820323,418507,494963,316713,100074,6871,179,193876
272.5,988790,44606,393371,1864362,253245,362645,183250,241224,76006,625999,397218,111772,313562,135042,653584,157835,180924,760,103651,557156,232951,247451,370853,212881,296472,482111,525970,498116,734752,393553,505713,322681,91941,4811,114,195746
273.5,938576,44454,364728,1902684,223211,358504,171895,245485,71975,642707,397413,107721,314544,122805,666168,142769,179759,731,99544,571330,230113,236529,372411,202774,290150,474428,523503,506024,655120,369406,515357,328285,84615,3361,72,197997
274.5,890956,44670,337861,1934869,196385,355028,161205,248901,68258,650338,396541,103845,314885,112181,676825,128455,178654,712,95656,583693,226558,226175,373217,193384,285814,467195,521385,514315,581749,346141,523710,333448,78031,2346,46,200615
275.5,845951,45258,312714,1960127,172525,352176,151189,251336,64845,648356,394569,100115,314531,102949,685303,114975,177591,704,91972,594019,222292,216374,373217,184672,283396,460399,519575,522887,514747,323819,530601,338096,72126,1640,29,203591
276.5,803555,46232,289229,1977748,151386,349904,141845,252664,61725,636680,391478,96501,313433,94921,691374,102389,176552,704,88480,602101,217327,207113,372368,176600,282844,454024,518031,531624,454046,302486,535876,342159,66839,1149,18,206910
277.5,763737,47613,267342,1987133,132725,348170,133162,252777,58888,615708,387270,92980,311551,87930,694839,90734,175521,714,85169,607766,211686,198375,370638,169131,284125,448053,516710,540400,399446,282178,539400,345573,62115,809,11,210556
278.5,726449,49428,246988,1987811,116307,346933,125127,251593,56324,586285,381962,89529,308858,81834,695535,80025,174486,734,82027,610872,205401,190145,368005,162229,287222,442464,515566,549077,350641,262915,541066,348279,57902,573,7,214512
279.5,691627,51715,228096,1979457,101904,346151,117717,249056,54020,549645,375587,86129,305336,76506,693343,70259,173432,764,79046,611317,198513,182404,364459,155858,292132,437237,514555,557504,307260,244708,540794,350227,54151,410,5,218758
280.5,659192,54523,210596,1961908,89305,345781,110910,245139,51966,507315,368196,82765,300980,71840,688192,61419,172351,805,76216,609041,191073,175137,360004,149986,298862,432345,513630,565522,268890,227556,538536,351376,50820,295,3,223269
281.5,629058,57910,194416,1935167,78309,345779,104677,239853,50151,460999,359854,79422,295797,67741,680061,53470,171235,859,73527,604030,183138,168325,354655,144579,307429,427761,512747,572964,235095,211448,534277,351693,47867,215,2,228020
282.5,601132,61947,179483,1899413,68733,346102,98990,233240,48566,412454,350638,76092,289809,64128,668984,46371,170076,928,70974,596319,174773,161952,348442,139609,317852,423458,511857,579656,205439,196366,528034,351158,45258,159,1,232980
283.5,575316,66718,165724,1854991,60408,346703,93820,225377,47200,363373,340638,72768,283049,60930,655046,40069,168869,1014,68548,585985,166049,155999,341404,135044,330150,419405,510915,585421,179498,182282,519857,349760,42958,119,0,238115
284.5,551510,72322,153069,1802406,53183,347536,89138,216374,46046,315283,329951,69446,275562,58086,638387,34509,167613,1120,66242,573153,157040,150449,333594,130860,344334,415569,509875,590084,156863,169165,509830,347500,40939,91,0,243386
