particle_size,12_500_1_00,12_500_1_01,12_500_1_02,12_500_2_00,12_500_2_01,12_500_2_02,30_600_2_00,30_600_2_01,30_600_2_02,30_600_1_00,30_600_1_01,30_600_1_02,12_500_12_00,12_500_12_01,12_500_12_02,3_250_2_00,3_250_2_01,3_250_2_02,3_250_1_00,3_250_1_01,3_250_1_02,14_500_2_00,14_500_2_01,14_500_2_02,14_500_1_00,14_500_1_01,14_500_1_02,23_800_2_00,23_800_2_01,23_800_2_02,23_800_1_00,23_800_1_01,23_800_1_02,32_500_2_00,32_500_2_01,32_500_2_02,32_500_1_00,32_500_1_01,32_500_1_02
391.5,27927,4427,81567,0,143315,0,10982,3066,72710,0,77,41223,17640,0,124918,0,48,0,0,9790,11,83602,23760,0,12492,57,170514,0,12127,0,42,0,0,0,10981,37918,159,0,9960
392.5,30031,3751,71593,0,155948,0,14945,2881,71196,0,154,30857,23907,0,125338,0,33,0,0,7518,15,69897,24054,0,11450,38,164916,0,13093,0,56,0,0,0,10234,36364,177,0,9460
393.5,32228,3155,61890,0,168241,0,20094,2709,69479,0,299,22495,31843,0,125355,0,23,0,0,5719,20,58045,24342,0,10461,26,159348,0,14158,0,75,0,0,0,9506,34794,197,0,8978
394.5,34516,2634,52685,0,179841,0,26672,2549,67585,0,560,15961,41655,0,124929,0,16,0,0,4310,26,47889,24623,0,9528,18,153825,0,15328,0,98,0,0,0,8800,33214,220,0,8515
395.5,36888,2183,44156,0,190368,0,34936,2401,65541,0,1017,11017,53487,0,124020,0,11,0,0,3220,36,39262,24899,0,8653,12,148360,0,16612,0,128,0,0,0,8120,31631,246,0,8071
396.5,39337,1795,36431,0,199437,0,45128,2263,63376,0,1790,7392,67374,0,122597,0,8,0,0,2384,48,31994,25169,0,7836,8,142966,0,18017,0,166,0,0,0,7467,30050,276,0,7647
397.5,41856,1465,29585,0,206670,0,57463,2135,61117,0,3052,4820,83207,1,120632,0,6,0,0,1750,64,25917,25434,0,7078,6,137652,0,19550,0,214,0,0,0,6845,28478,310,0,7242
398.5,44435,1186,23644,0,211731,0,72094,2016,58789,0,5041,3052,100693,2,118105,0,4,0,0,1274,86,20872,25694,0,6378,4,132428,0,21217,0,273,0,0,0,6255,26920,348,0,6856
399.5,47064,953,18593,0,214339,0,89083,1906,56418,0,8064,1876,119338,4,115007,0,3,0,0,920,115,16713,25950,0,5735,3,127301,0,23025,0,345,1,0,0,5698,25382,392,0,6489
400.5,49732,759,14387,0,214296,0,108372,1805,54027,0,12496,1119,138442,8,111339,0,2,0,0,659,155,13306,26201,0,5147,2,122279,0,24980,0,433,1,0,0,5174,23870,441,0,6140
401.5,52425,600,10951,0,211503,0,129757,1711,51637,0,18757,647,157125,15,107114,0,1,0,0,469,207,10533,26450,0,4611,1,117366,0,27085,0,539,2,0,0,4683,22389,497,0,5810
402.5,55130,470,8201,0,205974,0,152863,1624,49267,0,27277,363,174378,28,102361,0,1,0,0,331,276,8291,26696,0,4126,1,112568,1,29342,0,665,2,0,0,4227,20944,561,0,5498
403.5,57834,366,6040,0,197841,0,177142,1544,46933,0,38433,197,189146,49,97120,0,0,0,0,232,368,6488,26940,1,3687,0,107887,1,31753,0,813,3,0,0,3803,19540,632,0,5202
404.5,60521,282,4376,0,187348,0,201883,1471,44650,0,52475,104,200426,87,91447,0,0,0,0,162,489,5047,27183,2,3292,0,103326,2,34315,0,987,3,0,0,3412,18179,713,0,4923
405.5,63175,215,3118,0,174841,0,226232,1404,42431,0,69444,53,207379,150,85409,0,0,0,0,112,648,3902,27426,4,2937,0,98888,3,37025,0,1188,4,0,0,3052,16867,804,0,4660
406.5,65782,163,2185,0,160745,0,249243,1342,40286,0,89091,26,209428,255,79087,0,0,0,0,77,854,2998,27670,7,2620,0,94572,3,39875,0,1419,5,0,0,2722,15606,906,0,4413
407.5,68325,122,1506,0,145539,0,269935,1285,38224,0,110832,13,206337,425,72569,0,0,0,0,53,1122,2289,27915,11,2337,0,90380,5,42856,0,1681,7,0,0,2421,14398,1020,0,4180
408.5,70789,91,1021,0,129728,0,287363,1234,36249,0,133735,6,198248,697,65952,0,0,0,0,36,1468,1736,28162,17,2086,0,86312,6,45953,0,1976,9,0,0,2147,13247,1148,0,3961
409.5,73159,67,680,0,113806,0,300688,1187,34367,0,156565,3,185677,1123,59336,0,0,0,0,24,1912,1307,28413,27,1862,0,82365,8,49148,0,2304,11,0,0,1900,12152,1292,0,3756
410.5,75418,49,446,0,98232,0,309252,1144,32582,0,177891,1,169454,1775,52819,0,0,0,0,17,2477,977,28668,44,1664,0,78541,11,52420,0,2665,14,0,0,1676,11116,1451,0,3563
411.5,77555,36,287,0,83403,0,312629,1106,30894,0,196231,0,150635,2754,46496,0,0,0,0,11,3191,725,28928,69,1489,0,74836,15,55743,0,3059,18,0,0,1475,10138,1628,0,3382
412.5,79554,26,182,0,69639,0,310660,1072,29304,0,210228,0,130383,4195,40456,0,0,0,0,7,4089,534,29194,108,1334,0,71250,21,59088,0,3485,22,0,0,1294,9220,1824,0,3213
413.5,81405,18,113,0,57169,0,303471,1041,27813,0,218819,0,109846,6267,34774,0,0,0,0,5,5209,390,29467,167,1198,0,67779,28,62420,0,3941,28,0,0,1133,8360,2041,0,3054
414.5,83096,13,70,0,46134,0,291454,1015,26417,0,221369,0,90047,9185,29512,0,0,0,0,3,6594,282,29748,256,1078,0,64424,38,65704,0,4423,35,0,0,990,7558,2280,0,2906
415.5,84618,9,42,0,36590,0,275236,991,25116,0,217753,0,71801,13201,24717,0,0,0,0,2,8294,202,30037,390,972,0,61180,51,68898,0,4927,44,0,0,863,6813,2542,0,2768
416.5,85964,6,25,0,28518,0,255618,971,23908,0,208356,0,55672,18606,20418,0,0,0,0,1,10362,144,30335,587,879,0,58045,68,71962,0,5451,54,0,0,750,6123,2829,0,2638
417.5,87126,4,14,0,21837,0,233513,954,22788,0,194013,0,41962,25713,16627,0,0,0,0,0,12859,101,30644,875,798,0,55018,91,74850,0,5987,67,0,0,651,5487,3142,0,2517
418.5,88101,3,8,0,16428,0,209872,941,21754,0,175886,0,30736,34839,13341,0,0,0,0,0,15844,70,30964,1289,726,0,52096,122,77518,0,6531,83,0,0,563,4902,3482,0,2404
419.5,88885,2,5,0,12139,0,185621,930,20803,0,155311,0,21873,46279,10542,0,0,0,0,0,19382,48,31295,1878,664,0,49276,163,79922,0,7076,102,0,0,487,4367,3850,0,2299
420.5,89477,1,3,0,8811,0,161600,923,19931,0,133643,0,15119,60269,8199,0,0,0,0,0,23534,33,31639,2702,609,0,46556,217,82020,0,7616,124,0,0,420,3878,4247,0,2200
421.5,89879,0,1,0,6281,0,138521,919,19134,0,112117,0,10147,76946,6273,0,0,0,0,0,28361,22,31994,3839,561,0,43935,287,83770,0,8144,152,0,0,361,3434,4673,0,2108
422.5,90091,0,0,0,4397,0,116947,917,18410,0,91745,0,6612,96310,4719,0,0,0,0,0,33915,15,32363,5388,519,0,41409,378,85137,0,8654,184,0,0,310,3032,5128,0,2023
423.5,90119,0,0,0,3023,0,97273,919,17755,0,73264,0,4181,118187,3489,0,0,0,0,0,40240,10,32745,7461,483,0,38977,496,86090,0,9140,222,0,0,266,2668,5613,0,1943
424.5,89967,0,0,1,2041,0,79741,924,17166,0,57123,0,2566,142204,2534,0,0,0,1,0,47369,6,33141,10195,451,0,36637,648,86603,0,9595,268,0,0,228,2342,6127,0,1869
425.5,89641,0,0,2,1353,0,64448,932,16639,0,43507,0,1528,167775,1807,0,0,0,1,0,55314,4,33550,13740,424,0,34387,843,86658,0,10014,321,0,0,195,2049,6668,0,1799
426.5,89150,0,0,3,881,2,51374,943,16173,0,32386,0,882,194115,1265,0,0,0,2,0,64071,3,33973,18258,400,0,32226,1089,86244,0,10394,382,0,0,166,1788,7235,0,1735
427.5,88503,0,0,5,563,3,40407,958,15764,0,23574,0,494,220273,868,0,0,0,2,0,73611,2,34409,23914,380,0,30152,1401,85359,0,10729,453,0,0,142,1555,7827,0,1675
428.5,87709,0,0,8,353,5,31371,976,15411,0,16788,0,268,245185,584,0,0,0,3,0,83879,0,34859,30864,363,0,28163,1791,84010,0,11016,535,0,0,121,1349,8441,0,1619
429.5,86778,0,0,13,218,9,24051,999,15111,0,11702,0,141,267744,385,0,0,0,4,0,94794,0,35321,39241,349,0,26258,2275,82211,0,11255,629,0,0,102,1167,9074,0,1567
430.5,85723,0,0,21,132,15,18217,1025,14863,0,7989,0,72,286890,249,0,0,0,6,0,106247,0,35795,49135,337,0,24435,2873,79985,0,11442,734,0,0,87,1006,9721,0,1519
431.5,84554,0,0,32,78,26,13638,1055,14665,0,5344,0,36,301689,158,0,0,0,8,0,118099,0,36280,60577,328,0,22695,3605,77364,0,11579,854,0,0,74,865,10381,0,1474
432.5,83284,0,0,49,46,44,10096,1090,14516,0,3504,0,17,311415,98,0,0,0,11,0,130191,0,36775,73516,321,0,21034,4493,74386,0,11664,987,0,0,63,742,11046,0,1432
433.5,81924,0,0,74,26,74,7394,1130,14415,0,2254,0,8,315609,59,0,0,0,14,0,142339,0,37280,87803,316,1,19453,5562,71093,0,11701,1134,0,0,53,635,11714,0,1394
434.5,80486,0,0,111,15,120,5360,1176,14362,0,1423,0,4,314114,35,0,0,0,19,0,154342,0,37792,103182,313,2,17950,6838,67536,0,11690,1296,0,0,45,541,12377,0,1358
435.5,78982,0,0,166,8,194,3848,1227,14357,0,882,0,2,307087,20,0,0,0,26,0,165990,0,38310,119284,313,3,16523,8347,63765,0,11635,1473,0,0,38,460,13031,0,1324
436.5,77424,0,0,243,4,308,2737,1285,14398,0,537,0,0,294973,11,0,0,0,35,0,177067,0,38831,135631,314,4,15172,10115,59835,0,11537,1665,0,0,32,390,13669,0,1294
437.5,75822,0,0,353,2,480,1930,1349,14488,0,321,0,0,278462,6,0,0,0,46,0,187359,0,39355,151656,317,5,13896,12168,55800,0,11402,1871,0,0,27,330,14284,0,1265
438.5,74188,0,0,507,1,736,1350,1421,14626,0,189,0,0,258426,3,0,0,0,62,0,196665,0,39878,166732,323,7,12693,14528,51715,0,11233,2089,0,0,23,278,14871,0,1239
439.5,72531,0,0,718,0,1111,937,1502,14813,0,109,0,0,235842,2,0,0,0,83,0,204801,0,40398,180207,331,10,11561,17214,47629,0,11033,2319,0,0,19,234,15422,0,1214
440.5,70861,0,0,1005,0,1649,645,1591,15051,0,62,0,0,211715,0,0,0,0,111,0,211604,0,40912,191452,341,15,10500,20241,43593,0,10807,2559,0,0,16,197,15932,0,1192
441.5,69187,0,0,1388,0,2407,442,1691,15341,0,35,0,0,187011,0,0,0,0,147,0,216947,0,41416,199910,353,22,9507,23615,39648,0,10559,2807,0,0,14,165,16393,0,1171
442.5,67518,0,0,1891,0,3452,301,1801,15685,0,19,0,0,162596,0,0,0,0,196,0,220731,0,41908,205137,369,32,8581,27336,35834,0,10293,3060,0,0,12,137,16801,0,1152
443.5,65861,0,0,2542,0,4866,203,1924,16085,0,11,0,0,139196,0,0,1,0,260,0,222899,0,42383,206848,387,47,7720,31394,32185,0,10013,3315,0,0,10,114,17149,0,1135
444.5,64222,0,0,3368,0,6741,137,2061,16545,0,6,0,0,117373,0,0,2,0,344,0,223430,0,42838,204935,409,69,6922,35768,28726,0,9722,3568,0,0,8,95,17433,0,1119
445.5,62609,0,0,4399,0,9176,92,2212,17065,0,3,0,0,97520,0,0,2,0,453,0,222343,0,43268,199487,434,102,6185,40426,25478,0,9424,3817,0,0,7,79,17650,0,1104
446.5,61026,0,0,5662,0,12270,61,2380,17651,0,2,0,0,79865,0,0,3,0,595,0,219693,0,43669,190772,464,150,5506,45323,22457,0,9123,4057,0,0,6,65,17795,0,1091
447.5,59479,0,0,7179,0,16118,41,2565,18304,0,0,0,0,64495,0,0,5,0,779,0,215569,0,44036,179225,499,219,4884,50404,19672,0,8821,4285,0,0,5,54,17866,0,1079
448.5,57971,0,0,8965,0,20796,27,2771,19029,0,0,0,0,51377,0,0,7,0,1016,0,210088,0,44366,165406,539,320,4315,55602,17125,0,8520,4496,0,0,4,44,17862,0,1068
449.5,56508,0,0,11025,0,26350,18,2998,19830,0,0,0,0,40389,0,0,9,0,1320,0,203391,0,44652,149956,585,466,3798,60839,14817,0,8224,4688,0,0,4,36,17781,0,1058
450.5,55090,0,0,13347,0,32786,12,3250,20711,0,0,0,0,31345,0,0,13,0,1706,0,195637,0,44891,133544,638,674,3329,66030,12742,0,7933,4856,0,0,3,30,17626,0,1049
451.5,53722,0,0,15903,0,40055,8,3528,21676,0,0,0,0,24025,0,0,19,0,2196,0,186998,0,45076,116826,700,970,2906,71084,10892,0,7650,4997,0,0,3,24,17397,0,1040
452.5,52406,0,0,18647,0,48045,5,3835,22730,0,0,0,0,18195,0,0,26,0,2811,0,177650,0,45205,100394,771,1384,2526,75905,9254,0,7376,5108,0,0,2,20,17096,0,1033
453.5,51142,0,0,21511,0,56574,3,4174,23878,0,0,0,0,13620,0,0,37,0,3579,0,167771,0,45271,84750,853,1958,2185,80399,7817,0,7113,5187,0,0,2,16,16727,0,1026
454.5,49932,0,0,24411,0,65394,2,4548,25123,0,0,0,0,10083,0,0,53,0,4531,0,157535,0,45270,70282,947,2745,1882,84473,6564,0,6861,5233,0,0,2,13,16294,0,1020
455.5,48777,0,0,27247,0,74196,1,4961,26470,0,0,0,0,7384,0,0,76,0,5704,0,147103,0,45198,57259,1056,3808,1614,88041,5480,0,6621,5244,0,0,1,11,15802,0,1015
456.5,47678,0,0,29906,0,82625,0,5414,27925,0,0,0,0,5353,0,0,108,0,7135,0,136629,0,45050,45831,1181,5221,1377,91026,4549,0,6394,5221,0,0,1,9,15257,0,1010
457.5,46634,0,0,32276,0,90305,0,5913,29489,0,0,0,0,3842,0,0,154,0,8867,0,126248,0,44825,36042,1325,7072,1170,93364,3755,0,6180,5162,0,0,1,7,14665,0,1006
458.5,45646,0,0,34245,0,96862,0,6460,31168,0,0,0,0,2732,0,0,218,0,10947,0,116079,0,44517,27851,1492,9454,988,95005,3083,0,5979,5070,0,0,0,6,14033,0,1002
459.5,44713,0,0,35717,0,101957,0,7060,32964,0,0,0,0,1925,0,0,309,0,13419,0,106222,0,44125,21148,1684,12460,831,95915,2518,0,5792,4947,0,0,0,5,13367,0,999
460.5,43834,0,0,36614,0,105312,0,7717,34879,0,0,0,0,1345,0,0,437,0,16330,0,96761,0,43646,15781,1905,16179,695,96079,2045,0,5619,4794,0,1,0,4,12676,0,996
461.5,43010,0,0,36888,0,106740,0,8435,36914,0,0,0,0,932,0,0,614,0,19724,0,87761,0,43080,11574,2160,20681,578,95498,1653,0,5459,4614,0,1,0,3,11966,0,993
