particle_size,std_after_125_4_1_00,std_after_125_4_1_01,std_after_125_4_1_02,std_after_125_4_2_00,std_after_125_4_2_01,std_after_125_4_2_02,std_before_125_4_1_00,std_before_125_4_1_01,std_before_125_4_1_02,std_before_125_4_2_00,std_before_125_4_2_01,std_before_125_4_2_02
176.5,477,0,50,5,892,43974,0,91963,3605,977,180,0
177.5,454,0,29,4,428,34776,0,55294,1485,481,121,0
178.5,442,0,16,4,193,26973,0,30736,570,234,81,0
179.5,438,0,9,4,82,20521,0,15755,204,114,55,0
180.5,444,0,5,4,33,15317,0,7431,68,56,37,0
181.5,459,0,3,5,12,11219,0,3218,21,27,25,0
182.5,483,0,1,7,4,8068,0,1278,6,14,17,0
183.5,517,0,0,9,1,5698,0,464,2,7,11,0
184.5,563,0,0,12,0,3954,0,154,0,4,8,0
185.5,622,0,0,18,0,2698,0,47,0,2,5,0
186.5,697,0,0,29,0,1812,0,13,0,1,4,0
187.5,790,0,0,46,0,1197,0,3,0,0,3,0
188.5,906,0,0,77,0,780,0,0,0,0,2,0
189.5,1048,0,0,131,0,501,0,0,0,0,1,0
190.5,1223,0,0,227,0,318,0,0,0,0,0,0
191.5,1436,0,0,398,0,199,0,0,0,0,0,0
192.5,1695,0,0,697,0,123,0,0,0,0,0,0
193.5,2008,0,0,1214,0,76,0,0,0,0,0,0
194.5,2385,0,0,2089,0,46,0,0,0,0,0,0
195.5,2836,0,0,3522,0,28,0,0,0,0,0,0
196.5,3370,0,0,5782,0,17,0,0,0,0,0,0
197.5,3999,0,0,9179,0,10,0,0,0,0,0,0
198.5,4733,0,0,14005,0,6,0,0,0,0,0,0
199.5,5579,0,0,20413,0,3,0,0,0,0,0,0
200.5,6544,0,0,28265,0,2,0,0,0,0,0,0
201.5,7629,0,0,36986,0,1,0,0,0,0,0,0
202.5,8832,0,0,45513,0,0,0,0,0,0,0,0
203.5,10144,0,0,52430,0,0,0,0,0,1,0,0
204.5,11549,0,0,56306,0,0,0,0,0,2,0,0
205.5,13022,0,0,56158,0,0,0,0,0,4,0,0
206.5,14531,0,0,51838,0,0,0,0,0,6,0,0
207.5,16036,0,0,44146,0,0,0,0,0,12,0,0
208.5,17491,0,0,34589,0,0,0,0,0,22,0,0
209.5,18843,0,0,24871,0,0,0,0,0,42,0,0
210.5,20041,0,0,16376,0,0,0,0,0,80,0,0
211.5,21031,0,0,9855,0,0,0,0,0,153,0,0
212.5,21767,0,0,5412,0,0,0,0,0,289,0,0
213.5,22211,0,0,2708,0,0,0,0,0,543,0,0
214.5,22335,0,0,1233,0,0,0,0,0,1006,0,0
215.5,22127,0,0,511,0,0,0,0,0,1830,0,0
216.5,21590,0,0,192,0,0,0,0,0,3256,0,0
217.5,20742,0,0,66,0,0,0,0,0,5646,0,0
218.5,19619,0,0,20,0,0,0,0,0,9511,0,0
219.5,18264,0,0,6,0,0,0,0,0,15518,0,0
220.5,16732,0,0,1,0,0,0,0,0,24459,0,0
221.5,15084,0,0,0,0,0,0,0,0,37154,0,0
222.5,13379,0,0,0,0,0,0,0,0,54283,0,0
223.5,11675,0,0,0,0,0,0,0,0,76150,0,0
224.5,10023,0,0,0,0,0,0,0,0,102422,1,0
225.5,8464,0,0,0,0,0,0,0,0,131926,1,0
226.5,7032,0,0,0,0,0,0,0,0,162592,2,0
227.5,5748,0,0,0,0,0,0,0,0,191611,3,0
228.5,4622,0,0,0,0,0,0,0,0,215835,4,0
229.5,3656,0,0,0,0,0,0,0,0,232344,7,0
230.5,2846,0,0,0,0,0,0,0,0,239043,10,0
231.5,2180,0,0,0,0,0,0,0,0,235112,14,0
232.5,1643,0,0,0,0,0,0,0,0,221173,20,0
233.5,1219,0,0,0,0,0,0,0,0,199132,30,0
234.5,890,0,0,0,0,0,0,0,0,171740,44,0
235.5,640,0,0,0,0,0,0,0,0,142028,64,0
236.5,453,0,0,0,0,0,0,0,0,112764,94,0
237.5,315,0,0,0,0,0,0,0,0,86072,136,0
238.5,217,0,0,0,0,0,0,0,0,63257,196,0
239.5,146,0,0,0,0,0,0,0,0,44838,281,0
240.5,97,0,0,0,0,0,0,0,0,30710,399,0
241.5,64,0,0,0,0,0,0,0,0,20363,562,0
242.5,41,0,0,0,0,0,0,0,0,13101,784,0
243.5,26,0,0,0,0,0,0,0,0,8196,1083,0
244.5,17,0,0,0,0,0,0,0,0,4998,1479,0
245.5,10,0,0,0,0,0,0,0,0,2978,1997,0
246.5,6,0,0,0,0,0,0,0,0,1738,2663,0
247.5,4,0,0,0,0,0,0,0,0,997,3505,0
248.5,2,0,0,0,0,0,0,0,0,563,4551,0
249.5,1,0,0,0,0,0,0,0,0,315,5826,0
250.5,0,0,0,0,0,0,0,0,0,174,7350,0
251.5,0,0,0,0,0,0,0,0,0,96,9134,0
252.5,0,0,0,0,0,0,0,0,0,52,11176,0
253.5,0,0,0,0,0,0,0,0,0,29,13459,0
254.5,0,0,0,0,0,0,0,0,0,16,15947,0
255.5,0,0,0,0,0,0,0,0,0,9,18585,0
256.5,0,0,0,0,0,0,0,0,0,5,21296,0
257.5,0,0,0,0,0,0,0,0,0,3,23988,0
258.5,0,0,0,0,0,0,0,0,0,2,26554,0
259.5,0,0,0,0,0,0,0,0,0,0,28882,0
260.5,0,0,0,0,0,0,0,0,0,0,30860,0
261.5,0,0,0,0,0,0,0,0,0,0,32385,0
262.5,0,0,0,0,0,0,0,0,0,0,33375,0
263.5,0,0,0,0,0,0,0,0,0,0,33772,0
264.5,0,0,0,0,0,0,0,0,0,0,33552,0
265.5,0,0,0,0,0,0,0,0,0,0,32722,0
266.5,0,0,0,0,0,0,0,0,0,0,31324,0
267.5,0,0,0,0,0,0,0,0,0,0,29433,0
268.5,0,0,0,0,0,0,0,0,0,0,27143,0
269.5,0,0,0,0,0,0,0,0,0,0,24566,0
270.5,0,0,0,0,0,0,0,0,0,0,21819,0
271.5,0,0,0,0,0,0,0,0,0,0,19019,0
272.5,0,0,0,0,0,0,0,0,0,0,16268,0
273.5,0,0,0,0,0,0,0,0,0,0,13656,0
274.5,0,0,0,0,0,0,0,0,0,0,11250,0
275.5,0,0,0,0,0,0,0,0,0,0,9094,0
276.5,0,0,0,0,0,0,0,0,0,0,7215,0
277.5,0,0,0,0,0,0,0,0,0,0,5618,0
278.5,0,0,0,0,0,0,0,0,0,0,4293,0
279.5,0,0,0,0,0,0,0,0,0,0,3220,0
280.5,0,0,0,0,0,0,2,0,0,0,2370,0
281.5,0,0,0,0,0,0,5,0,0,0,1713,0
282.5,0,0,0,0,0,0,11,0,0,0,1215,0
283.5,0,0,0,0,0,0,24,0,0,0,846,0
284.5,0,0,0,0,0,0,49,0,0,0,578,0
285.5,0,0,0,0,0,0,98,0,0,0,388,0
286.5,0,0,0,0,0,0,187,0,0,0,256,0
287.5,0,0,0,0,0,0,344,0,0,0,165,0
288.5,0,0,0,0,0,0,611,0,0,1,105,0
289.5,0,0,0,0,0,0,1045,0,0,2,66,0
290.5,0,0,0,0,0,0,1725,0,0,4,40,0
291.5,0,0,0,0,0,0,2750,0,0,6,24,0
292.5,0,0,0,0,0,0,4238,0,0,11,14,0
