particle_size,6_500_1_00,6_500_1_01,6_500_1_02,6_500_2_00,6_500_2_01,6_500_2_02,17_500_1_00,17_500_1_01,17_500_1_02,17_500_2_00,17_500_2_01,17_500_2_02,19_500_1_00,19_500_1_01,19_500_1_02,19_500_2_00,19_500_2_01,19_500_2_02,28_500_1_00,28_500_1_01,28_500_1_02,28_500_2_00,28_500_2_01,28_500_2_02,34_500_1_00,34_500_1_01,34_500_1_02,34_500_2_00,34_500_2_01,34_500_2_02
270.5,24867,105601,176258,16486,26543,27,34895,49242,4803,59505,66,913,37373,120129,147226,66874,132592,314425,89488,4980,157600,82744,25346,48863,92487,278842,46650,134194,3074,305275
271.5,23158,106586,191279,18823,25802,17,27612,45910,5368,55771,119,754,32291,126025,159340,64753,135026,299209,79672,5804,174442,80310,23483,55900,83638,251422,46585,144139,3295,287182
272.5,21591,107082,204130,21680,25127,10,21499,42810,6002,51987,212,626,27823,132403,171700,62804,137204,282196,70693,6822,191138,78114,21607,63153,75224,224978,46519,154578,3560,269191
273.5,20155,107081,214021,25151,24514,6,16471,39936,6708,48215,367,523,23922,139266,184209,61022,139103,263705,62534,8080,207305,76126,19742,70441,67293,199826,46446,165460,3877,251444
274.5,18841,106578,220263,29345,23961,4,12417,37280,7492,44505,620,439,20541,146607,196766,59399,140703,244092,55167,9634,222543,74318,17910,77560,59884,176211,46361,176720,4253,234069
275.5,17640,105580,222344,34378,23465,2,9211,34833,8359,40903,1018,372,17625,154418,209260,57930,141988,223737,48552,11549,236452,72660,16133,84287,53019,154306,46258,188281,4699,217178
276.5,16543,104098,219996,40375,23024,1,6724,32585,9313,37445,1629,318,15124,162681,221575,56609,142946,203030,42645,13908,248649,71123,14429,90395,46710,134221,46134,200051,5225,200868
277.5,15541,102154,213232,47459,22635,0,4830,30526,10358,34160,2533,274,12988,171372,233591,55431,143570,182355,37393,16808,258785,69674,12813,95661,40958,116001,45984,211928,5845,185216
278.5,14627,99775,202361,55742,22296,0,3415,28644,11495,31066,3831,238,11170,180457,245187,54391,143854,162072,32746,20360,266565,68284,11298,99884,35754,99642,45805,223799,6575,170287
279.5,13794,96994,187957,65312,22007,0,2376,26929,12727,28178,5633,210,9629,189896,256240,53483,143800,142509,28648,24698,271759,66921,9891,102896,31079,85095,45594,235541,7435,156127
280.5,13037,93850,170811,76218,21764,0,1628,25369,14054,25501,8050,186,8324,199636,266632,52704,143413,123946,25047,29971,274216,65554,8600,104573,26908,72276,45350,247026,8445,142768
281.5,12348,90385,151845,88444,21566,0,1098,23954,15474,23038,11180,168,7223,209616,276244,52048,142700,106611,21893,36345,273871,64152,7426,104846,23213,61076,45070,258120,9632,130228
282.5,11722,86647,132024,101894,21411,0,729,22673,16985,20784,15095,152,6294,219766,284967,51511,141674,90672,19138,44000,270748,62687,6370,103703,19959,51370,44753,268687,11025,118513
283.5,11155,82683,112268,116368,21299,0,477,21516,18582,18734,19813,140,5512,230005,292698,51090,140351,76241,16736,53128,264958,61132,5428,101191,17111,43020,44399,278596,12659,107617
284.5,10642,78543,93374,131545,21228,0,307,20474,20259,16878,25290,131,4854,240243,299342,50782,138751,63369,14648,63918,256691,59461,4595,97413,14632,35888,44008,287717,14574,97526
285.5,10179,74276,75965,146977,21197,0,195,19537,22006,15204,31403,124,4302,250385,304819,50583,136893,52060,12834,76552,246206,57655,3866,92521,12485,29836,43581,295929,16813,88217
286.5,9761,69930,60465,162087,21204,0,122,18698,23815,13701,37949,119,3838,260328,309057,50490,134803,42268,11260,91187,233820,55696,3234,86704,10635,24731,43119,303121,19428,79661
287.5,9386,65552,47101,176198,21249,0,75,17948,25672,12355,44652,115,3450,269962,312001,50501,132505,33914,9898,107937,219888,53574,2689,80178,9047,20448,42622,309196,22476,71824
288.5,9051,61184,35920,188562,21331,0,46,17281,27563,11153,51186,113,3126,279179,313610,50613,130025,26888,8718,126858,204788,51283,2224,73170,7690,16873,42095,314069,26018,64669
289.5,8752,56867,26830,198419,21449,0,27,16689,29473,10083,57201,113,2855,287867,313860,50824,127391,21064,7698,147918,188904,48825,1829,65907,6534,13902,41537,317675,30123,58155
290.5,8488,52637,19638,205066,21602,0,16,16167,31385,9132,62356,114,2632,295917,312742,51131,124629,16305,6816,170982,172610,46210,1497,58602,5553,11443,40954,319964,34866,52241
291.5,8255,48526,14093,207931,21790,0,9,15709,33281,8287,66360,116,2448,303225,310263,51532,121766,12470,6054,195793,156258,43452,1220,51445,4723,9415,40346,320906,40325,46885
292.5,8052,44560,9923,206644,22012,0,5,15310,35141,7539,68998,120,2299,309693,306449,52026,118828,9424,5395,221954,140163,40574,989,44598,4021,7747,39719,320488,46582,42046
293.5,7877,40763,6860,201093,22267,0,3,14965,36948,6876,70150,126,2180,315234,301342,52610,115840,7037,4825,248925,124596,37605,799,38188,3430,6379,39074,318718,53721,37683
294.5,7729,37151,4659,191454,22555,0,2,14669,38681,6290,69800,134,2089,319770,294997,53283,112825,5192,4333,276028,109782,34579,643,32304,2932,5258,38415,315618,61826,33756
295.5,7606,33738,3112,178188,22875,0,0,14419,40323,5771,68034,144,2022,323238,287487,54041,109806,3786,3908,302463,95895,31533,515,27004,2513,4343,37746,311230,70974,30228
